|  cc | minrecall | maxrecall | localrank |            top5 |
| ---:| ---------:| ---------:| ---------:| ---------------:|
|  AR |    0.4777 |      0.49 |         3 |  UY,PY,AR,PE,CO |
|  BR |    0.4611 |    0.4879 |         1 | BR,ALL,DO,PY,CR |
|  CA |    0.2934 |    0.3533 |        18 | CL,ALL,CO,MX,US |
|  CL |    0.4257 |    0.4494 |         1 |  CL,US,MX,AR,ES |
|  CO |    0.4247 |    0.4365 |         2 |  US,CO,VE,EC,GT |
|  CR |    0.3689 |     0.388 |         9 | US,VE,ALL,MX,CO |
|  DO |    0.3383 |    0.3813 |        13 | US,CO,VE,CL,ALL |
|  EC |    0.3797 |    0.4138 |         9 | MX,US,CL,ALL,CO |
|  ES |    0.4754 |    0.4855 |         1 |  ES,AR,MX,US,VE |
|  FR |    0.4187 |    0.4424 |         4 | ALL,GT,EC,FR,PA |
|  GB |    0.3467 |    0.3756 |        23 | ALL,AR,ES,VE,MX |
|  GT |    0.3489 |    0.3882 |        13 | MX,US,ALL,CO,ES |
|  HN |    0.3354 |    0.3671 |        18 |  PE,EC,BR,CR,UY |
|  MX |    0.4233 |    0.4335 |         1 |  MX,GT,CR,US,CO |
|  NI |    0.3372 |    0.3718 |        18 |  VE,CO,CL,MX,US |
|  PA |    0.3658 |    0.3927 |        10 |  US,CL,VE,CO,PE |
|  PE |    0.3799 |    0.4196 |         9 | MX,ALL,US,AR,CO |
|  PY |    0.4244 |    0.4417 |         1 |  PY,US,BR,PE,UY |
|  SV |    0.3226 |    0.3954 |        18 |  US,CO,MX,CL,VE |
|  US |    0.4041 |    0.4244 |         1 |  US,MX,CO,ES,CL |
|  UY |    0.4351 |    0.4572 |         1 |  UY,US,CO,CL,VE |
|  VE |    0.3848 |    0.4338 |         4 |  MX,CO,ES,VE,US |
 
