| country_code |           n |    rawvoc |       voc |
| ------------:| -----------:| ---------:| ---------:|
|           AR | 129,774,176 | 3,302,464 |   669,745 |
|           BO |     487,696 |   156,017 |    46,655 |
|           BR |   3,823,792 |   594,117 |   125,785 |
|           CA |     755,740 |   235,676 |    62,645 |
|           CL |  22,364,784 | 1,252,438 |   281,290 |
|           CO |  32,709,838 | 1,444,233 |   322,982 |
|           CR |   3,811,036 |   339,908 |   102,446 |
|           CU |     106,966 |    70,257 |    18,496 |
|           DO |   3,157,663 |   387,205 |   108,063 |
|           EC |   6,274,530 |   558,427 |   146,726 |
|           ES |  62,624,884 | 2,773,605 |   567,617 |
|           FR |     870,545 |   281,532 |    69,216 |
|           GB |   1,214,321 |   316,173 |    81,686 |
|           GQ |       3,217 |     9,128 |     1,110 |
|           GT |   2,676,950 |   324,107 |    94,744 |
|           HN |   1,119,389 |   198,786 |    60,193 |
|           MX |  55,815,815 | 2,017,737 |   435,915 |
|           NI |   1,737,769 |   223,418 |    68,230 |
|           PA |   3,189,107 |   410,215 |   111,065 |
|           PE |   8,047,752 |   720,045 |   177,080 |
|           PR |     217,665 |    84,434 |    22,858 |
|           PY |   4,758,976 |   450,555 |   123,447 |
|           SV |   1,416,610 |   247,206 |    73,407 |
|           US |  17,145,808 | 1,263,567 |   290,631 |
|           UY |  15,894,226 |   802,633 |   199,000 |
|           VE |  17,641,612 | 1,250,630 |   270,561 |
|          ALL | 397,640,867 | 1,268,420 | 1,268,420 |

