| emoji |     AR |    BR |  CA |    CL |    CO |  CR |  CU |  DO |    EC |     ES |  FR |  GB |  GT |  HN |     MX |  NI |    PA |    PE |    PY |  SV |    US |    UY |  VE |
| -----:| ------:| -----:| ---:| -----:| -----:| ---:| ---:| ---:| -----:| ------:| ---:| ---:| ---:| ---:| ------:| ---:| -----:| -----:| -----:| ---:| -----:| -----:| ---:|
|     🥺 |  3,749 |   275 | 158 | 1,263 | 4,760 | 425 |  26 | 458 |   745 |  2,640 |  53 |  95 | 666 | 708 | 10,160 | 736 |   827 |   739 |   684 | 278 | 2,536 |   446 | 359 |
|     ❤ | 18,454 | 1,775 | 124 | 2,911 | 6,237 | 821 |  41 | 348 | 1,123 |  8,394 | 153 | 255 | 653 | 609 |  9,508 | 491 |   880 |   968 | 1,800 | 219 | 3,216 | 1,478 | 784 |
|     👌 |  2,114 |    92 |  34 | 1,016 | 1,455 | 242 |  20 | 167 |   253 |  1,825 |  41 |  58 | 376 | 157 |  2,754 | 159 |   313 |   160 |   666 | 124 |   597 |   190 |  71 |
|     👏 |  6,785 |   433 |  80 | 2,995 | 2,486 | 159 |  33 | 369 |   886 |  7,061 |  64 | 105 | 197 | 159 |  4,175 |  52 |   388 |   577 |   761 | 222 | 1,281 | 1,248 | 530 |
|     💔 |  4,278 |   100 |  28 |   390 | 1,407 | 161 |   7 | 123 |   200 |  1,164 |  26 |  37 | 134 |  91 |  1,438 | 105 |   260 |   115 |   428 |  31 |   667 |   283 | 142 |
|     😄 |    798 |    26 |   8 |   301 |   300 |  42 |   3 |  56 |    83 |    776 |   4 |  18 |  48 |  48 |    549 |  17 |    58 |   115 |    92 |  53 |   192 |    85 | 120 |
|     😊 |  3,609 |   105 |  35 | 1,803 | 1,475 | 171 |  32 | 175 |   364 |  3,827 |  74 |  56 | 257 | 129 |  3,395 | 115 |   236 |   817 |   369 | 192 |   829 |   377 | 293 |
|     😌 |  1,184 |    70 |  30 |   827 |   986 | 132 |  44 | 280 |   238 |  1,017 |  23 |  23 | 123 | 163 |  2,011 | 151 |   293 |   248 |   377 |  78 |   608 |   167 | 110 |
|     😍 | 15,999 |   932 | 111 | 2,190 | 6,824 | 510 |  28 | 509 |   837 |  8,000 | 107 | 136 | 491 | 514 |  8,711 | 341 | 1,010 |   999 | 1,996 | 268 | 2,232 | 1,194 | 686 |
|     😒 |  3,081 |    89 |  24 |   920 | 1,718 | 155 |  50 | 316 |   291 |    780 |  18 |  22 | 163 | 124 |  2,185 | 175 |   322 |   213 |   259 | 127 |   738 |   359 | 236 |
|     😘 |  5,935 |   211 |  70 | 1,764 | 1,482 |  98 |  29 | 119 |   347 | 10,785 | 203 |  99 | 171 |  72 |  4,290 |  63 |   136 |   374 |   190 | 181 | 1,808 |   719 | 493 |
|     😡 |  2,777 |   136 |  60 | 1,098 | 1,412 | 150 |   5 | 110 |   291 |  1,320 |  12 |  25 | 158 |  52 |  2,428 |  59 |   155 |   227 |   250 |  90 |   769 |   301 | 252 |
|     😢 |  2,144 |    89 |  38 |   699 | 1,039 | 153 |   8 | 102 |   296 |  1,507 |  31 |  39 | 151 | 129 |  2,646 | 131 |   204 |   271 |   239 |  69 |   781 |   227 | 135 |
|     😭 | 13,873 |   436 | 125 | 1,967 | 4,461 | 581 |  25 | 604 |   787 |  3,935 | 157 | 135 | 388 | 364 |  6,752 | 321 | 1,057 |   979 | 1,832 | 200 | 2,799 |   939 | 530 |
|     🤔 |  6,751 |   275 | 154 | 2,756 | 4,173 | 440 |  47 | 614 |   771 |  4,781 |  99 | 111 | 421 | 339 |  7,380 | 211 |   741 | 1,135 |   937 | 384 | 1,941 |   951 | 734 |
 
