emoji	AR	BR	CA	CL	CO	CR	CU	DO	EC	ES	FR	GB	GT	HN	MX	NI	PA	PE	PY	SV	US	UY	VE
🥺	3749	275	158	1263	4760	425	26	458	745	2640	53	95	666	708	10160	736	827	739	684	278	2536	446	359
❤	18454	1775	124	2911	6237	821	41	348	1123	8394	153	255	653	609	9508	491	880	968	1800	219	3216	1478	784
👌	2114	92	34	1016	1455	242	20	167	253	1825	41	58	376	157	2754	159	313	160	666	124	597	190	71
👏	6785	433	80	2995	2486	159	33	369	886	7061	64	105	197	159	4175	52	388	577	761	222	1281	1248	530
💔	4278	100	28	390	1407	161	7	123	200	1164	26	37	134	91	1438	105	260	115	428	31	667	283	142
😄	798	26	8	301	300	42	3	56	83	776	4	18	48	48	549	17	58	115	92	53	192	85	120
😊	3609	105	35	1803	1475	171	32	175	364	3827	74	56	257	129	3395	115	236	817	369	192	829	377	293
😌	1184	70	30	827	986	132	44	280	238	1017	23	23	123	163	2011	151	293	248	377	78	608	167	110
😍	15999	932	111	2190	6824	510	28	509	837	8000	107	136	491	514	8711	341	1010	999	1996	268	2232	1194	686
😒	3081	89	24	920	1718	155	50	316	291	780	18	22	163	124	2185	175	322	213	259	127	738	359	236
😘	5935	211	70	1764	1482	98	29	119	347	10785	203	99	171	72	4290	63	136	374	190	181	1808	719	493
😡	2777	136	60	1098	1412	150	5	110	291	1320	12	25	158	52	2428	59	155	227	250	90	769	301	252
😢	2144	89	38	699	1039	153	8	102	296	1507	31	39	151	129	2646	131	204	271	239	69	781	227	135
😭	13873	436	125	1967	4461	581	25	604	787	3935	157	135	388	364	6752	321	1057	979	1832	200	2799	939	530
🤔	6751	275	154	2756	4173	440	47	614	771	4781	99	111	421	339	7380	211	741	1135	937	384	1941	951	734
